name,filter_object,graphql_object,llm_result
INSTRuCT Addendum 3,,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tnm_finding"": [""Metastases, M1""]}}]}]}], ""path"": ""stagings""}}]}","The cohort consists of individuals who are part of the INSTRuCT consortium. These individuals are at the initial diagnosis phase of their disease and have a TNM finding of metastases, specifically classified as M1."
INSTRuCT Addendum 2,,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tnm_finding"": [""Metastases, M1""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 5}}, {""LTE"": {""age_at_tumor_assessment"": 9131}}]}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who are part of the INSTRuCT consortium. These individuals were at the initial diagnosis phase of their disease and had metastases classified as M1. Additionally, at the time of tumor assessment, they were between 5 days and 25 years old."
INSTRuCT Addendum 1,,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}]}",The cohort includes participants who are part of the INSTRuCT consortium.
test,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""American Indian or Alaska Native""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and identify as American Indian or Alaska Native. Both criteria must be met for inclusion in the cohort.
InstructMaleAlive,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""survival_characteristics.lkss"": {""__type"": ""OPTION"", ""selectedValues"": [""Alive""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""IN"": {""lkss"": [""Alive""]}}], ""path"": ""survival_characteristics""}}]}",The cohort consists of male participants who are part of the INSTRuCT consortium and are currently alive.
InstructSensorEvent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""censor_status"": {""__type"": ""OPTION"", ""selectedValues"": [""Subject has had one or more events""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""IN"": {""censor_status"": [""Subject has had one or more events""]}}]}",The cohort consists of subjects who are part of the INSTRuCT consortium and have experienced one or more events.
BRMS,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}",The cohort consists of individuals diagnosed with Botryoid rhabdomyosarcoma (BRMS) as their histology type.
INSS Stage 4,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INSS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}, {""IN"": {""stage_system"": [""INSS""]}}], ""path"": ""stagings""}}]}",The cohort consists of individuals who are part of the INRG consortium. These individuals have been diagnosed with Stage 4 cancer according to the INSS staging system.
INSS Stage 1-3,"{""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 1"", ""Stage 2a"", ""Stage 2b"", ""Stage 3""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 1"", ""Stage 2a"", ""Stage 2b"", ""Stage 3""]}}], ""path"": ""stagings""}}]}","The cohort includes individuals who are in Stage 1, Stage 2a, Stage 2b, or Stage 3 of a specified condition, as determined by their staging information."
No 17q gain,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""17q gain""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of participants from the INRG consortium who have undergone molecular analysis. Specifically, these participants do not exhibit the 17q gain molecular abnormality, as the result for this abnormality is absent."
Yes - 17q gain,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""17q gain""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have a molecular abnormality characterized by a 17q gain, and this abnormality is confirmed to be present in their molecular analysis results."
Stage IV INSS,"{""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INSS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}, {""IN"": {""stage_system"": [""INSS""]}}], ""path"": ""stagings""}}]}",The cohort consists of individuals who are classified as having Stage 4 according to the INSS staging system.
test,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
INRG High MKI,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_characteristics.mki"": {""__type"": ""OPTION"", ""selectedValues"": [""High (>4% or >200/5,000 cells)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""mki"": [""High (>4% or >200/5,000 cells)""]}}], ""path"": ""disease_characteristics""}}]}","The cohort consists of participants who are part of the INRG consortium and have a disease characteristic where the MKI (mitosis-karyorrhexis index) is high, specifically greater than 4% or more than 200 out of 5,000 cells."
arms,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Alveolar rhabdomyosarcoma (ARMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}",The cohort consists of male individuals diagnosed with either Alveolar rhabdomyosarcoma (ARMS) or Botryoid rhabdomyosarcoma (BRMS).
INRG and INSTRUCT,"{""value"": [{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}, {""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}], ""__type"": ""COMPOSED"", ""__combineMode"": ""OR""}","{""OR"": [{""AND"": [{""IN"": {""consortium"": [""INRG""]}}]}, {""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}]}]}",The cohort consists of participants who are part of either the INRG consortium or the INSTRuCT consortium. Participants are included if they belong to at least one of these two consortia.
INRG MALE,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Male""]}}]}",The cohort consists of male participants who are part of the INRG consortium.
NODAL clHL,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Hodgkin Lymphoma, Classical, NOS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Hodgkin Lymphoma, Classical, NOS""]}}], ""path"": ""histologies""}}]}","The cohort consists of individuals who are part of the NODAL consortium and have a histology diagnosis of Classical Hodgkin Lymphoma, not otherwise specified (NOS)."
test4,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""ethnicity"": {""__type"": ""OPTION"", ""selectedValues"": [""Not Hispanic or Latino""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""IN"": {""ethnicity"": [""Not Hispanic or Latino""]}}, {""IN"": {""sex"": [""Male""]}}]}",The cohort consists of male participants who are not Hispanic or Latino and are part of the INSTRuCT consortium.
COMPOSED1,"{""value"": [{""value"": [{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}, {""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}], ""__type"": ""COMPOSED"", ""__combineMode"": ""OR""}, {""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}], ""__type"": ""COMPOSED"", ""__combineMode"": ""AND""}","{""AND"": [{""OR"": [{""AND"": [{""IN"": {""consortium"": [""INRG""]}}]}, {""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}]}]}, {""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Male""]}}]}]}","The cohort consists of participants who are part of either the INRG or INSTRuCT consortiums. Additionally, the cohort includes male participants specifically from the INRG consortium."
test3,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""ethnicity"": {""__type"": ""OPTION"", ""selectedValues"": [""Not Hispanic or Latino""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""IN"": {""sex"": [""Male""]}}, {""IN"": {""ethnicity"": [""Not Hispanic or Latino""]}}]}",The cohort consists of male participants who are not Hispanic or Latino and are part of the INSTRuCT consortium.
xyz,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Female""]}}]}",The cohort consists of female participants who are part of the INRG consortium.
MYCN-yes,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}",The cohort consists of participants from the INRG consortium who have a molecular analysis indicating the presence of MYCN amplification.
INRG Ganglioneuroblastoma all,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Ganglioneuroblastoma, Intermixed (Schwannian Stroma-Rich)"", ""Ganglioneuroblastoma, Nodular (Composite)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Ganglioneuroblastoma, Intermixed (Schwannian Stroma-Rich)"", ""Ganglioneuroblastoma, Nodular (Composite)""]}}], ""path"": ""histologies""}}]}","The cohort consists of participants from the INRG consortium who have been diagnosed with either ""Ganglioneuroblastoma, Intermixed (Schwannian Stroma-Rich)"" or ""Ganglioneuroblastoma, Nodular (Composite)"" histologies."
